topic_id,doc_index,file_id,topic_weight,text_preview
0,3698,180-10073-10093_chunk_002,0.999894,belief true correct complete declaration preparer taxpayer based preparer knowledge preparer signature taxpayer sign signature boek address zip code return part renter credit question answered march l
0,3699,180-10073-10093_chunk_003,0.999894,excess gain line line enter loss schedule form line otherwise enter zero reduce gain line extent loss line enter loss schedule form line otherwise enter zero add gain line reduce loss line extent gain
0,3702,180-10073-10093_chunk_006,0.999894,security a. principal business activity food service product snack bar b. business name street rural route example retail-hardware wholesale-tobacco services-legal manufacturing-furniture etc c. feder
0,3703,180-10073-10093_chunk_007,0.999893,choice two deduction method either itemize deduction take standard deduction explained instruction separate return husband wife medical dental expense compensated insurance otherwise medicine drug doc
0,3705,180-10073-10093_chunk_009,0.999893,amount payroll¨deduc- add item wage figuring amount-to-be-reported wage salary income tax return social security f.i.c.a rate includes hospital insurance benefit old-age survivor disability insurance 
1,1017,104-10182-10057_chunk_005,0.998678,woman looking friendly enough speaking military duty titi return ecole de beaux-arts proposing good job determin follow school long time working architects.we looking apartement like own.few people un
1,1076,104-10185-10243,0.992049,june card called knott alien affair staff ammug-l card check thing moving far know trying get mug file might still border appl'sment set july feniceprint safe apartment summit hill move july called to
1,773,104-10174-10065_chunk_007,0.989394,might even suggest take advantage loginov absence fron mexico ussr requese relacciones give visa intelligence activity detailed back mouth francis j. coigne sxxx chf note birthday either kolomyakov mi
1,803,104-10175-10133,0.980449,explains involvement circumsances surrounding recruitment attempt personal harrassment soviet official aodent june narrative presented keith cameron johnson dean ken university america deeply involved
1,1730,104-10234-10102,0.978799,dispatch deputy chief wh/sa processing action marked midexing inocking required qualified desi judge indexing chief jmwave sufypic/amtrunk/mhapron operational microfilm transmittal regarding infil emf
2,700,104-10172-10111_chunk_001,0.999892,material reviewed cia headquarters house select committee assassination staff member file title/number/volume halperin maurice hyman vol iit inclusive custodial unit/location room deletion received th
2,2261,104-10535-10001_chunk_002,0.99989,su viaje cuba donde estuvo con su esposo quince días narra lo siguiente los últimos días del de noviembre de dirigí cuba sin ser invitada cubriendo los gastos de transportación de mi propio peculio al
2,701,104-10172-10111_chunk_002,0.99989,en venezuela fue algo mayor el de francia estas cifras reflejan desde luego la actividades de la compañías de petróleo estadounidenses anglo-holandesas maurice halferin operan en venezuela pero dicen 
2,2260,104-10535-10001_chunk_001,0.999888,actividades de lee harvey oswald en mexico el de septiembre de oswald tomó el ommibus de la linea continental trailways en houstón partió la a.m. rumbo laredo texas pasando por corpus christi alice tu
2,569,104-10163-10176_chunk_004,0.999887,several people present meeting expressed concerned possibility samoza attend inauguration large nicaraguan official military desate dignity hc dignity insult national rica pepe figueres reported might
3,2629,124-10264-10209_multirif_chunk_003,0.98977,imperial wizard money sent monthly uka headquarters tuscaloosa individual klavern presumably put bank examination pertinent income tax return might furnish financial standing shelton uka used program 
3,2621,124-10264-10208_multirif_chunk_003,0.989769,imperial wizard money sent monthly uka headquarters tuscaloosa individual klavern presumably put bank examination pertinent income tax return might furnish financial standing shelton uka used program 
3,2613,124-10264-10206_multirif_chunk_003,0.989769,imperial wizard money sent monthly uka headquarters tuscaloosa individual klavern presumably put bank examination pertinent income tax return might furnish financial standing shelton uka used program 
3,2637,124-10264-10210_multirif_chunk_003,0.989769,imperial wizard money sent monthly uka headquarters tuscaloosa individual klavern presumably put bank examination pertinent income tax return might furnish financial standing shelton uka used program 
3,1913,104-10305-10000_chunk_005,0.729186,called effective way gaining lleoperations refuse publicly ch gra baton rouge novel talked four hour last night east baton rouge isha dist ally sargent pitchre arrival columbus offlo hying since selli
4,3387,157-10014-10067_chunk_001,0.999901,form agency agency sscia series hearing agency file sscia tweedy bronson title congo assassination lumumba cia classification restriction transcript deletion last opening criterion comment item restri
4,1968,104-10324-10002_chunk_005,0.999901,walter cronkite broadcast thing like think find overall pulling back constant drumbeat cia evil cia evil cia evil 'm sure much impact congressional hill particularly church committee pike committee pa
4,3424,157-10014-10151_chunk_008,0.9999,departure unclear probably signifies biological substance lost toxicity nonetheless chief indicated gottlieb left biological substance still lethal intended proceed assassination operation sid left ce
4,3433,157-10014-10178_chunk_002,0.9999,oversight military program ica run defense department senior state department official involved area two different function reason setup area working cia intelligence matter somewhat different prior p
4,3378,157-10014-10018_chunk_001,0.999899,form agency agency sscia series hearing agency file sscsgo bundy mcgeorge title classification restriction bundy mcgeorge rostow walt castro fidel cia operation mongoose transcript deletion last openi
5,2939,124-10274-10125_chunk_038,0.999895,socialist alliance people participation rally ground were™ representative political organization bell telephone company pennsylvania furnished source reflected telephone service woman united abortion 
5,2940,124-10274-10125_chunk_039,0.999894,changed name sd national recent year located west madison street chicago illinois closed february tomen national march pentagon april confid tial appendix student democratic sociedy cont 'd weatherman
5,2938,124-10274-10125_chunk_037,0.999894,armstrong xo herwig mrs. neenan rally repeal anti-abortion law federal building cleveland ohio public square cleveland ohio sponsored abortion project coalition apc cleveland ohio aug. twentyfive seve
5,2925,124-10274-10125_chunk_024,0.999893,last spokesman special event national capital park united state department interior washington d.c. notice proposed demonstration filed september twentyone last representative wonaac washington d.c. c
5,2924,124-10274-10125_chunk_023,0.999893,abortion movement specifically wonaac conference scheduled hunter college york july wonaac founded july purpose forming national movement group scattered throughout united state favor work legalize ab
6,1863,104-10291-10021_chunk_001,0.999885,ref ation establishment cancellation official cover backstop lef control op chief contract personnel op chief pcs/css operating component action attn support staff apr employee card retirement cia sta
6,1622,104-10225-10006_chunk_002,0.999879,bureau employee compensation washington d. c. dear harren reference claim benefit federal employee compensation enclosed additional submitted claimant assistance matter please advise truly b. dafelice
6,1825,104-10291-10002_chunk_003,0.999876,category category chun ina laa category category return official documentation cc orm hhg submit form cover hr rect submit form responsibility eaa category submit form remark and/or mistory nd comp ca
6,1873,104-10291-10022_chunk_009,0.999812,health code yes federal tax data state bax data poom executed code tax exemption form executed code inc. tax state code exemp s-yes op approval approved group xcluded automatic conagrading de lassitat
6,1864,104-10291-10021_chunk_002,0.999546,personnel action serial name last-first-middle nature personnel action reassignment kent williah fund organizational designation dop/wh utvision effective ing s. category employment financial analysis
7,2148,104-10337-10014_chunk_002,0.999882,release assassination public foia executive order expressed goal obtaining maximum disclosure jfk ensured goal met two accountability provision relate directly ground postponementthe presumption relea
